Name,Phone,Address
Aldrich George Jacobs,"Level D3 Pretoria Academic Hospital,Steve Biko Street, Pretoria",+27 12 354 1506
Arwyp Medical Centre - Cardiac Ward,"Netcare Christiaan Barnard Memorial Hospital,
 Cnr D F Malan Street & Rua Bartholemeu Dias Plain,
 Foreshore , 8001",+27 11 922 1370
Black Lion Hospital - Cardiac & Thoracic Surgery Dept,"Suite 2010 1st Floor  Vincent Pallotti Hospital,
Alexandra Road,
Pinelands , 7405",+251 11 551 1211
Busamed Gateway Private Hospital - Cardiac I C U 2 Dept,"Gateway Private Hospital,
 36-38 Aurora Drive,
 Umhlanga Rocks , 4319",+27 31 492 1212
Busamed Hillcrest Private Hospital - Cardiac Ward,"471 Kassier Road,
 Assagay , 3610",+27 31 768 8000
Busamed Modderfontein Private Hospital,"Ext 12  Long Lake Boulevard,
 4 Cnr Cransley Crescent & Marlboro Drive,
 Linbro Park , 2090",+27 11 458 2000
Busamed Paardevlei Private Hospital,"4 Gardner Williams Avenue,
 Paardevlei , 7130",+27 21 840 6622
Capital Hospital - Cardiac I C U,"95 King Cetshwayo Highway,
 West Ridge , 4091",+27 31 832 9700
Cardiac Clinic,"551 Park Street,
 Arcadia , 0083",+267 37 710 300
Cardiac Output (Pty) Ltd,"Unit A12  Pinelands Business Park,
 4 New Mill Road,
 Pinelands , 7405",+27 21 531 2091
Centre Cardiaque De Pamplemousses (Cardiac Centre),"696 5th Avenue,
 Les Marais , 0084",+230 243 8086
Charlotte Maxeke Johannesburg Academic Hospital - Cardiac ICU Dept (Ward 566),"47 Clinton Road,
 Alberton , 1449",+27 11 488 3566
David Chimuka,"90 Prince Edward Street,, Milton Park",+263 4 790 454
Dr Aine Mugabi Cardiologist,"Block 5 Suite 15  Mediclinic Pietermaritzburg,
 90 Payn Street,
 Pietermaritzburg , 3201",+27 33 342 0737
Dr Andre Brooks,"Suite 1401  Netcare Christiaan Barnard Memorial Ho,
Cnr D F Malan Street & Rua Bartholemeu Dias Plain,
Foreshore , 8001",+27 21 422 2360
Dr Darshan Reddy,"Suite 01 Block C 2nd Flr  Ethekwini Hospital And H,
11 Riverhorse Road,
Newlands East , 4037",+27 31 581 2555
Dr David Michael Shama,"Stone Fountain Terrace Rondebosch Medical Centre,
85 Klipfontein Road,
Rondebosch , 7700",+27 31 202 7578
Dr Frederik Johannes Stephanus Steyn,"Lift Lobby 3 3rd Flr  Saint Augustines Hospital,
107 J B Marks Road,
Bulwer , 4001",+27 12 343 3466
Dr Geoffrey Kibira,"800 Vusi Mzimela Road,
Cato Manor , 4091",+255 27 254 5118
Dr Gerrit Tertius van Rooyen,"Life Bayview Hospital,
Cnr Ryk Tulbach Street & Alhof Drive,
Mossel Bay , 6506",+27 44 691 3240
Dr Gregory Roy Martin,"Wits University Donald Gordon Medical Centre - C,
21 Eton Road,
Parktown , 2193",+27 11 356 6000
Dr Hendrik Johannes van Der Merwe,"Netcare Blaauwberg Hospital,
Waterville Street,
Sunningdale , 7441",+27 21 554 9000
Dr Henning Johannes Du Toit,"The Mater Hospital,
 Dunga Road,
 Nairobi Central , 00100",+264 61 246 000
Dr Hugo Alberto Sarli,"Suite 326  Zah Consulting Rooms,
293 Bourke Street,
Muckleneuk , 0002",+27 12 344 1153
Dr Isaiah Ichabod Kekana,"Suite 8 Ground Floor  Netcare Ferncrest Hospital,
Moumo Street,
Tlhabane , 0299",+27 14 568 4314
Dr Jacobus De La Rey Winter,"Room 108  Netcare Unitas Hospital,
Clifton Avenue,
Lyttelton Manor , 0157",+27 31 492 1330
Dr Jacobus Wynand Karel (Kobus) Louw,"6th Floor Room 609  Gateway Private Hospital,
36-38 Aurora Drive,
Umhlanga Rocks , 4319",+27 21 686 3362
Dr James Oliver Donald Fulton,"Suite 17 2nd Floor  Mediclinic Pietermaritzburg,
90 Payn Street,
Pietermaritzburg , 3201",+27 33 342 7350
Dr Jason Alexander Suter,"Ground Floor  Cape Sports Medicine Sports Science ,
65 Boundary Road,
Newlands , 7700",+27 21 659 5644
Dr Johan Hendrik Honing,"Annexure H  Netcare Milpark Hospital,
9 Guild Road,
Parktown West , 2193",+27 11 726 3125
Dr Kashif Mustafa,"Annexure H  Netcare Milpark Hospital,
9 Guild Road,
Parktown West , 2193",+27 11 488 4459
Dr Kumar Mahesh Krishna,"Room H04  Mediclinic Panorama,
Rothschild Boulevard,
Panorama , 7500",+230 605 1000
Dr Lenise Christine Swanson,"Room 209  N1 City Medical Chambers,
Louwtjie Rothman Street,
N1 City , 7460",+27 21 595 0334
Dr Leonard Johannes Du Preez,"Suite 102  Life Wilgers Hospital,
Denneboom Road,
Die Wilgers , 0081",+27 21 930 3237
Dr Lovendran Moodley,"Chelmsford Medical Centre 2  Netcare St Augustines,
107 J B Marks Road,
Bulwer , 4001",+27 21 506 5139
Dr Masha Maharaj,"Suite 5  Medigate Medical Centre,
Medigate Road,
Umhlanga Rocks , 4319",+27 31 566 3051
Dr Mohamed Yehia Metwaly,"Charlotte Maxeke Johannesburg Academic Hospital,
17 Jubilee Road,
Parktown , 2193",+20 2 247 7590 2
Dr Morris Ngonyoku Muhinga,"2nd Floor  5th Avenue Office Suites,
Ngong Road,
Nairobi Central , 00100",+254 722 875178
Dr Myenderan Keith Odayan,"3rd Floor,
 7 Harry Gwala Road,
 Dawncliffe , 3630",+27 31 202 9394
Dr Paul Kisanga,"1st Floor  Netcare Krugersdorp Hospital,
9 Burger Street,
Krugersdorp , 1739",+255 27 254 5118
Dr Peter Sore Aseyo,"Suite B Block 3  Mediclinic Pietermaritzburg,
90 Payn Street,
Pietermaritzburg , 3201",+254 722 207868
Dr R A Garda Cardiology Practice,"Suite 302 A  Linksfield Park Medical Centre,
 24 12th Avenue,
 Linksfield , 2192",+27 11 647 3429
Dr Robert Kleinloog,"6th Floor Room 609  Gateway Private Hospital,
36-38 Aurora Drive,
Umhlanga Rocks , 4319",+27 31 492 1330
Dr Shialin Naidoo,"Suite 2 1st Floor  Ahmed Al-Kadi Private Hospital,
490 King Cetshwayo Highway,
Mayville , 4091",+27 31 492 3441
Dr Siphosenkosi Mduduzi Mazibuko,"Suite 10b  Mediclinic Legae,
8560 Lucas Mangope Road,
Mabopane , 0190",+27 12 797 8040
Dr Stanley (Stan) Solarsh,"Suite 6 Medical Suites  Killarney Mall,
60 Riviera Road,
Killarney , 2193",+27 11 486 4494
Dr Stefanus Johannes De Villiers,"New Main Building,
 Anzio Road,
 Observatory , 7925",+27 12 807 2109
Dr Steven Christopher Davis,"Suite Ff08  Life Springs Parkland Hospital,
23 Artemis Road,
Pollak Park , 1559",+27 11 812 4198
Dr Surendra (Suren) Naidoo,"D Floor New Main Building L Block  New Main Buildi,
Anzio Road,
Observatory , 7925",+27 33 394 3530
Dr Susanna Maria (Susan) Vosloo,"Suite 1401  Christiaan Barnard Memorial Hospital,
Cnr D F Malan Street & Rua Bartholemeu Dias Plain,
Foreshore , 8001",+27 21 422 2360
Dr Willem Johannes De Vries,"Suite 2001  Life Vincent Pallotti Hospital,
Alexandra Road,
Pinelands , 7405",+27 83 300 0937
Dr Willem Lodewyk Roos,"Room 7 Block G  Netcare Montana Private Hospital,
Cnr Dr Swanepoel & Rooibos Road,
Montanapark , 0182",+27 12 548 0714
Dr Yasmin Bera Inc.,"Suite 404 - 4th Floor  Netcare Linksfield Hospital,
 24 12th Avenue,
 Linksfield West , 2192",+27 11 640 4675
Dr Zeead Karani,"Room 307 3rd Floor  Gatesville Medical Centre,
Clinic Street,
Gatesville , 7764",+27 21 633 1156
El Mahalla Cardiac Center,"800 Vusi Mzimela Road,
Cato Manor , 4091",+20 40 220 1273
Ethekwini Hospital And Heart Centre - Cardiac ICU,"1st Floor,
 40 Park Drive,
 Central , 6001",+27 31 581 2430
Freedom Zulu Cardiac Diagnostic Services,"Office 1508  Lister Medical Centre,
 193 Rahima Moosa Street,
 Newtown , 2001",+27 11 915 0327
Gesund Cardiac Centre,"Riverhorse Valley Business Estate,
 11 Cnr Riverhorse Road & Queen Nandi Drive,
 Newlands East , 4037",+251 11 667 6269
Groote Schuur Hospital - Medical Cardiac ICU,"Unit 26,
 Anzio Road,
 Observatory , 7925",+27 21 404 2020
Inkosi Albert Luthuli Central Hospital - Cardiac Dept,"800 Vusi Mzimela Road,
 Cato Manor , 4091",+27 31 240 1764
Itumeleng Clifford Taunyane,"806 Ashwood Gardens,Parklands Main Road, Parklands",+27 83 943 9385
