Name,Phone,Address
The National Tuberculosis Hospital,"Moneneni Next  To Gumtree Garage, Opposite Tisuka Houses, Manzini, Eswatini",+268 25 055 838
Sime Ophthalmology,"Hofmeyer Avenue, Mediclinic, Vereeniging, South Africa",+27 16 421 1580
Sime Ophthalmology.,"Hofmeyer Avenue, Mediclinic, Vereeniging, South Africa",+27 16 421 1580
1 Military Hospital - Ophthalmology (Eye Clinic) Dept,"Gombe, Kinshasa, Congo, Democratic Republic of the",+27 12 314 0456
2 Military Hospital - Ophthalmology Dept,"4197 Avenue De La Montagne,
 Ngaliema",+27 21 799 6911
Aga Khan University Hospital Nairobi - Opthamology Dept,"Durban, KwaZulu-Natal, South Africa",+254 20 3662000
Aghdasi S,"Melrose House,
 14 Palmyra Road,
 Claremont , 7708",+27 31 374 8079
Aminu Kano Teaching Hospital - Ophthalmology Dept,"Kano - Zaria Road,
 Kano",+234 64 668 232
Assyout University Hospital - Ophthalmology Dept,+234 70 284 756 35,+20 88 242 3500
Baringo County Referral Hospital - Ophthalmology Dept,"Konongo-Atebubu Road,
 Agogo",+254 758 722027
Bethal Hospital - Ophthalmology Department,"Koforidua, Eastern, Ghana",+27 17 647 6341
Bethesda Hospital - Ophthalmology,"Kitale, Trans-Nzoia, Kenya",+27 35 595 2250
Blumenfeld R,"East London, Eastern Cape, South Africa",+27 11 432 2445
Bonang Eye Clinic,"45 Annie Botha Road, Riviera",+27 12 329 4562
Bonang Eye Clinic,"514 White Street, Baileys Muckleneuk",+27 12 346 3022
Bossel Eye Care,"near Haatso Total Filling Station,
 5th Street,
 Accra",+234 1 496 0471
Botshilu Private Hospital - Ophthalmology Department,"Avenue Pasteur,
 Plateau",+27 12 798 7000
Busamed Lowveld Private Hospital - Ophthalmology Department,"Nakumat Complex,
 Airport North Road,
 Embakasi , 00100",+27 13 752 7576
Busia County Referral Hospital - Ophthalmology Dept,+255 22 260 2346,+254 722 429821
Centre For Ophthalmology,"68 Burger St, Polokwane, Polokwane, Limpopo, South Africa",+27 15 295 3476
Centre for Ophthalmology,"68 Burger St, Polokwane",+27 15 295 3476
Centre For Ophthalmology,"68 Burger St, Polokwane, Polokwane, Limpopo, South Africa",+27 15 295 3476
Centre for Ophthalmology And for Diabetes (Ismail K),"Suite 2  Centre for Ophthalmology,
 68 Burger Street,
 Polokwane , 0699",+27 15 295 3476
Centre Hospitalier Universitaire De Yaounde (Chuy) - Ophthalmology Dept,"Old Oba-Nnewi Road,
 Nnewi",+237 223 1210 3
Centre M̩dical Inter-Entreprises - Ophthalmology Dept,+234 803 666 5457,+241 1 72 88 00
Centre M̩dico-Chirurgical France Ivoire - Ophthalmology Dept,"Hospital Road,
 Nairobi Central , 00100",+225 21 252 560
Centre Medical Prima - Ophtamology Depts,+233 20 895 6779,+225 21 254 444
Charlotte Maxeke Johannesburg Academic Hospital - Eye Clinic,"Harare, Zimbabwe",+27 11 488 4266
Charlotte Maxeke Johannesburg Academic Hospital - O.P.D Ophthalmology,+250 722 722 938,+27 11 717 2549
Charlotte Maxeke Johannesburg Academic Hospital - Ophthalmology Ward,+243 852 453 328,+27 11 488 3267
Chris Hani Baragwanath Hospital - Ophthalmology Dept,+234 805 576 3942,+27 11 933 8000
Chris Hani Baragwanath Hospital - St John's Eye Clinic,+250 252 530 545,+27 11 933 8787
Chrissanthie Cosmetics,"27b Isaac John Street,
 Ikeja",+27 11 593 3243
Clinique Al Farabi - Ophthalmology Dept,"21-23 Rue Ahcene Chaouch Mahamed Kamel,
 Annaba , 23000",+27 33 843 4300
Clinique Cmena - Ophthalmology Dept,"Rue Ahougnassou,
 Bouake",+225 31 633 563
Clinique M̩dicale D̩fi - Ophthalmology Dept,"Abuja, Abuja Capital Territory, Nigeria",+223 207 3068 5
Clinique Medical Optique - Ophthalmology Dept,+227 20 74 12 91,+242 6 886 6125
Clinique Medicale Le Grand Centre - Ophthalmology Dept,"Lake Road,
 Kumasi",+225 23 467 267
Dawood M H,"Randburg, Gauteng, South Africa",+27 11 894 8008
Defence Forces Memorial Hospital (Nairobi) - Ophthalmology Dept,"Cnr Avenue Victoire & Boulevard Lumumba,
 Masina",+254 20 2727610
Dihlabeng Regional Hospital - Ophthalmology Dept,"Port Harcourt, Rivers, Nigeria",+27 58 303 5331
Dr A R Berry Incorporated,www.eyevisionafrica.co.za,+27 21 871 1368
Dr Aboobaker Gani,"S 1  Lenmed Randfontein Private Hospital,
 Ward Road,
 Randfontein , 1759",+27 12 492 6659
Dr Anele Yako,"12 Craister Street,
 Mthatha , 5100",+27 47 505 5600
Dr Boitumelo Khantsi Ophthalmologist,"Suite 1 Ground Floor  Ahmed Al-Kadi Private Hospit,
 490 King Cetshwayo Highway,
 Mayville , 4091",+27 11 697 0840
Dr Chrissie Cockinos,"Randburg, Gauteng, South Africa",+27 11 883 2426
Dr D.T Cornelius Inc,"Westrand Eye Centre,
 Cnr Christiaan De Wet Road & Beverley Drive North,
 Roodepoort North , 1724",+27 12 343 8035
Dr Darshana Soma,"18 Gardner Williams Avenue,
 Paardevlei , 7130",+27 11 655 5598
Dr Dean R Barclay,"Unit 13  Retina Surgery Centre Northcliff Office P,
 203 Bayers Naude Drive,
 Northcliff , 2195",+27 41 373 3532
Dr E A Laubscher Ophthalmologist - Pretoria Eye Institute,"Sandton, Gauteng, South Africa",+27 12 343 4462
Dr Eben August Laubscher,"Suite 10/3  Medicross Day Hospital,
5 Lira Link Road,
Richards Bay , 3900",+27 12 343 4462
Dr Frederik Potgieter,"Cape Town, Western Cape, South Africa",+27 12 333 1111
Dr Gcobani Maxwell Tuswa,"Richards Bay, uMhlathuze Local Municipality, Uthungulu District Municipality, KwaZulu-Natal, South Africa",+27 16 420 3148
